id,lat,lon,scientific_name,local_name,english_common_name,source,water_tower_id,notes_source
bio_0083,-0.166667,35.750000,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 1020041408, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",mau_forest_complex,Flora of Tropical East Africa; KFS species atlas
bio_0084,-0.150000,37.000000,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 1897751158, dataset 83ae84cf-88e4-4b5c-80b2-271a15a3e0fc",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0085,1.050000,34.750000,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2515966227, dataset 15f819bd-6612-4447-854b-14d12ee1022d",mt_elgon,Flora of Tropical East Africa; KFS species atlas
bio_0086,-2.666667,37.866667,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253625, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",chyulu_hills,Flora of Tropical East Africa; KFS species atlas
bio_0087,-0.155000,37.012640,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 5057997454, dataset 9781ce05-2379-4a10-ab3b-c91346510df8",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0088,3.166667,35.016667,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253534, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",mt_kulal,Flora of Tropical East Africa; KFS species atlas
bio_0089,3.133333,35.066667,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253478, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",mt_kulal,Flora of Tropical East Africa; KFS species atlas
bio_0090,1.033333,34.583333,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253500, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",mt_elgon,Flora of Tropical East Africa; KFS species atlas
bio_0091,1.533333,35.883333,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253504, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",cherangani_hills,Flora of Tropical East Africa; KFS species atlas
bio_0092,1.133333,36.700000,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253501, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",lerroghi_kirisia_hills,Flora of Tropical East Africa; KFS species atlas
bio_0093,1.750000,35.166667,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253492, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",cherangani_hills,Flora of Tropical East Africa; KFS species atlas
bio_0094,1.133333,34.550000,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253483, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",mt_elgon,Flora of Tropical East Africa; KFS species atlas
bio_0095,-1.416667,35.583333,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253486, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",loita_hills,Flora of Tropical East Africa; KFS species atlas
bio_0096,0.266667,36.533333,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 912253506, dataset cd6e21c8-9e8a-493a-8a76-fbf7862069e5",marmanet_forest,Flora of Tropical East Africa; KFS species atlas
bio_0097,-0.454805,36.717003,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5076821229, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI montane species guide; UNEP montane forest study
bio_0098,-0.159528,37.448597,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5844613946, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI montane species guide; UNEP montane forest study
bio_0099,-0.168988,37.222724,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5007424694, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI montane species guide; UNEP montane forest study
bio_0100,-0.169317,37.218475,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5062928213, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI montane species guide; UNEP montane forest study
bio_0201,2.334,-37.767,Acacia tortilis,Muwanga,Umbrella thorn,GBIF occurrence 9999999999,dummy,Field note
bio_0202,0.123,36.789,Balanites aegyptiaca,Mukindu,Desert date,GBIF occurrence 8888888888,mount_marsabit,dummy
bio_0203,1.033,37.218,Afzelia quanzensis,Mutuura,Pod mahogany,GBIF occurrence 7777777777,mount_nyiru,dummy
bio_0204,1.233,37.323,Acacia xanthophloea,Mwanzi, Fever tree,GBIF occurrence 6666666666,ndotos,dummy
bio_0205,0.534,37.149,Dracaena afromontana,Kiama,Dragon tree,GBIF occurrence 5555555555,kirisia_hills,dummy
bio_0206,-0.524,37.124,Podocarpus latifolius,Nurunga,Broad-leaved yellowwood,GBIF occurrence 4444444444,huri_hills,dummy
bio_0207,0.203,37.328,Juniperus procera,Mununga; Mutarakwa,African pencil cedar,GBIF occurrence 3333333333,mount_kenya,dummy
bio_0208,0.153,36.595,Senegalia senegal,Osoronga,Senegalia,GBIF occurrence 2222222222,mount_kipipiri,dummy
bio_0209,1.144,36.548,Warburgia ugandensis,Muima,East African greenheart,GBIF occurrence 1111111111,mount_marsabit,dummy
bio_0210,0.876,37.889,Acacia abyssinica,Mweru,Highland acacia,GBIF occurrence 1010101010,loita_hills,dummy
bio_0211,-0.789,36.818,Albizia coriaria,Muua,Flat-crown albizia,GBIF occurrence 1212121212,marmanet_forest,dummy
bio_0212,0.567,37.129,Olea europaea subsp. africana,Mutamaiyu,Wild olive,GBIF occurrence 1313131313,mathews_range,dummy
bio_0213,0.689,37.445,Strelitzia nicolai,Mbashi,Giant bird-of-paradise,GBIF occurrence 1414141414,nyambene_hills,dummy
bio_0214,-0.453,37.196,Cordia africana,Mutura,Assyrian plum,GBIF occurrence 1515151515,shimba_hills,dummy
bio_0215,0.912,36.789,Trema orientalis,Kosongo,Charcoal tree,GBIF occurrence 1616161616,mount_kulal,dummy
bio_0216,0.871,37.451,Boscia angustifolia,Mutus,Shepherd tree,GBIF occurrence 1717171717,chyulu_hills,dummy
bio_0217,-0.295,36.844,Balanites aegyptiaca,Mukindu,Desert date,GBIF occurrence 1818181818,mount_elgon,dummy
bio_0218,1.123,36.555,Acacia senegal,Mugaa,Gum acacia,GBIF occurrence 1919191919,nyambene_hills,dummy
